"ID","Name","Pos","Team","Price","xPts 1","xMin 1","xPts 2","xMin 2","xPts 3","xMin 3","xPts 4","xMin 4","xPts 5","xMin 5","xPts GW1-38"
"283","Salah","MID","LIV","13","6.28","NaN","6.38","NaN","5.62","NaN","7.67","NaN","6.35","NaN","236.28"
"306","Cancelo","DEF","MCI","7","4.84","NaN","6.30","NaN","4.90","NaN","5.89","NaN","6.29","NaN","198.49"
"285","Trent","DEF","LIV","7.5","5.47","NaN","6.25","NaN","4.53","NaN","6.83","NaN","5.92","NaN","209.23"
"301","De Bruyne","MID","MCI","12","4.85","NaN","6.13","NaN","4.58","NaN","5.18","NaN","5.91","NaN","193.36"
"314","Foden","MID","MCI","8","4.19","NaN","5.26","NaN","3.97","NaN","4.48","NaN","5.09","NaN","166.63"
"318","Haaland","FWD","MCI","11.5","4.13","NaN","5.22","NaN","3.87","NaN","4.39","NaN","5.04","NaN","164.84"
"284","Robertson","DEF","LIV","7","4.41","NaN","5.10","NaN","3.64","NaN","5.43","NaN","4.81","NaN","168.85"
"333","Fernandes","MID","MUN","10","5.10","NaN","4.85","NaN","4.26","NaN","5.16","NaN","4.81","NaN","188.58"
"28","Jesus","FWD","ARS","8","3.89","NaN","4.85","NaN","4.69","NaN","5.06","NaN","4.56","NaN","164.38"
"303","Mahrez","MID","MCI","8","3.80","NaN","4.74","NaN","3.61","NaN","4.06","NaN","4.59","NaN","151.21"
"280","van Dijk","DEF","LIV","6.5","4.00","NaN","4.68","NaN","3.29","NaN","4.90","NaN","4.40","NaN","153.71"
"312","Dias","DEF","MCI","6","3.66","NaN","4.65","NaN","3.75","NaN","4.45","NaN","4.66","NaN","149.40"
"304","Sterling","MID","CHE","10","4.76","NaN","4.61","NaN","5.32","NaN","5.46","NaN","5.08","NaN","184.62"
"13","Saka","MID","ARS","8","3.83","NaN","4.60","NaN","4.43","NaN","4.78","NaN","4.40","NaN","157.73"
"307","Ederson","GK","MCI","5.5","3.83","NaN","4.54","NaN","3.90","NaN","4.48","NaN","4.53","NaN","154.19"
"465","Bowen","MID","WHU","8.5","3.36","NaN","4.53","NaN","4.43","NaN","4.02","NaN","4.12","NaN","163.92"
"407","Ward-Prowse","MID","SOU","6.5","3.20","NaN","4.51","NaN","3.60","NaN","3.86","NaN","3.45","NaN","141.18"
"281","Alisson","GK","LIV","5.5","4.16","NaN","4.50","NaN","3.50","NaN","4.57","NaN","4.20","NaN","153.57"
"311","B Silva","MID","MCI","7","3.65","NaN","4.50","NaN","3.50","NaN","3.92","NaN","4.38","NaN","145.12"
"411","C Adams","FWD","SOU","6.5","3.14","NaN","4.46","NaN","3.54","NaN","3.77","NaN","3.26","NaN","136.35"
"33","Digne","DEF","AVL","5","3.87","NaN","4.32","NaN","3.61","NaN","3.80","NaN","2.70","NaN","130.82"
"40","Watkins","FWD","AVL","7.5","4.15","NaN","4.27","NaN","3.51","NaN","4.19","NaN","3.36","NaN","146.23"
"427","Kane","FWD","TOT","11.5","6.44","NaN","4.17","NaN","5.88","NaN","5.55","NaN","5.12","NaN","204.00"
"80","Toney","FWD","BRE","7","3.84","NaN","4.15","NaN","4.03","NaN","4.40","NaN","3.59","NaN","149.32"
"227","Bamford","FWD","LEE","7.5","4.39","NaN","4.14","NaN","3.59","NaN","3.55","NaN","4.50","NaN","150.25"
"31","E Martinez","GK","AVL","5","3.94","NaN","4.10","NaN","3.80","NaN","3.72","NaN","3.27","NaN","138.01"
"142","Mount","MID","CHE","8","4.18","NaN","4.04","NaN","4.59","NaN","4.69","NaN","4.40","NaN","161.04"
"428","Son","MID","TOT","12","6.38","NaN","4.00","NaN","5.85","NaN","5.50","NaN","5.00","NaN","199.78"
"309","Laporte","DEF","MCI","6","3.14","NaN","4.00","NaN","3.21","NaN","3.80","NaN","4.00","NaN","128.13"
"15","Ramsdale","GK","ARS","5","4.07","NaN","3.99","NaN","4.21","NaN","4.32","NaN","4.08","NaN","149.06"
"43","Cash","DEF","AVL","5","3.55","NaN","3.98","NaN","3.33","NaN","3.50","NaN","2.47","NaN","120.16"
"478","Sa","GK","WOL","5","3.46","NaN","3.93","NaN","2.85","NaN","3.64","NaN","3.81","NaN","132.41"
