Pos,ID,Name,BV,SV,Team,1_xMins,1_Pts,2_xMins,2_Pts,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts
D,1,Cédric,4.5,4.5,Arsenal,10,0.34,9,0.32,11,0.42,11,0.49,11,0.43
G,2,Leno,4.5,4.5,Arsenal,4,0.14,5,0.22,5,0.22,7,0.32,8,0.33
M,3,Xhaka,5.0,5.0,Arsenal,70,2.33,66,2.36,63,2.26,61,2.39,61,2.24
M,4,Elneny,4.5,4.5,Arsenal,29,1.01,28,1.03,26,0.96,28,1.11,29,1.08
D,5,Holding,4.5,4.5,Arsenal,10,0.35,11,0.45,13,0.54,14,0.64,17,0.76
M,6,Partey,5.0,5.0,Arsenal,56,1.89,52,1.86,51,1.83,52,2.07,49,1.79
M,7,Ødegaard,6.5,6.5,Arsenal,76,3.39,75,3.69,73,3.54,72,3.96,72,3.65
D,8,Tierney,5.0,5.0,Arsenal,42,1.64,57,2.53,73,3.41,69,3.66,70,3.27
M,9,Pépé,5.5,5.5,Arsenal,7,0.49,10,0.74,12,0.86,15,1.16,14,1.01
D,10,White,4.5,4.5,Arsenal,69,2.35,65,2.53,68,2.74,65,3.01,64,2.59
F,11,Nketiah,7.0,7.0,Arsenal,19,1.16,25,1.61,26,1.67,30,2.10,30,1.90
M,12,Smith Rowe,6.0,6.0,Arsenal,30,1.80,33,2.10,33,2.08,32,2.28,32,2.08
M,13,Saka,8.0,8.0,Arsenal,78,4.20,75,4.58,74,4.54,72,5.05,71,4.46
D,14,Tomiyasu,4.5,4.5,Arsenal,76,2.92,75,3.27,72,3.28,71,3.68,71,3.22
G,15,Ramsdale,5.0,5.0,Arsenal,87,3.49,85,3.58,85,3.66,83,3.81,83,3.55
D,16,Gabriel,5.0,5.0,Arsenal,80,3.21,76,3.54,76,3.61,74,4.07,72,3.47
D,17,Tavares,4.5,4.5,Arsenal,7,0.28,6,0.28,4,0.20,4,0.22,4,0.20
M,18,Sambi,4.5,4.5,Arsenal,6,0.25,6,0.26,5,0.25,6,0.28,7,0.33
M,19,Martinelli,6.0,6.0,Arsenal,65,3.58,62,3.81,62,3.77,61,4.26,61,3.82
D,20,Pablo Marí,4.5,4.5,Arsenal,0,0.00,0,0.01,0,0.01,1,0.03,1,0.02
M,21,Maitland-Niles,5.0,5.0,Arsenal,3,0.20,3,0.23,4,0.30,4,0.31,4,0.28
M,22,Torreira,4.5,4.5,Arsenal,0,0.02,1,0.04,1,0.03,1,0.04,1,0.06
M,23,Nelson,5.0,5.0,Arsenal,0,0.01,1,0.05,1,0.04,1,0.07,1,0.06
G,24,Turner,4.0,4.0,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,25,Fábio Vieira,6.0,6.0,Arsenal,9,0.53,11,0.67,12,0.71,14,0.94,14,0.85
D,26,Saliba,4.5,4.5,Arsenal,25,0.94,33,1.40,26,1.16,31,1.54,31,1.38
M,27,Marquinhos,5.0,5.0,Arsenal,0,0.00,0,0.00,0,0.01,0,0.02,0,0.02
F,28,Jesus,8.0,8.0,Arsenal,82,4.39,79,4.74,76,4.49,75,5.07,74,4.46
M,29,Coutinho,7.0,7.0,Aston Villa,69,3.69,68,3.95,67,3.24,64,3.48,65,2.81
F,30,Ings,7.0,7.0,Aston Villa,46,2.79,42,2.76,45,2.52,48,2.89,43,2.16
G,31,Martínez,5.0,5.0,Aston Villa,89,3.61,87,3.66,87,3.30,87,3.49,86,3.06
D,32,Chambers,4.5,4.5,Aston Villa,14,0.56,17,0.71,17,0.56,17,0.66,18,0.47
D,33,Digne,5.0,5.0,Aston Villa,82,3.61,77,3.72,75,2.69,73,3.16,72,2.02
M,34,Traoré,5.0,5.0,Aston Villa,11,0.76,12,0.86,11,0.66,12,0.76,12,0.66
G,35,Olsen,4.0,4.0,Aston Villa,1,0.02,2,0.08,2,0.09,2,0.09,3,0.10
M,36,Sanson,4.5,4.5,Aston Villa,6,0.35,8,0.42,9,0.42,10,0.49,11,0.51
M,37,McGinn,5.5,5.5,Aston Villa,80,2.60,76,2.60,74,2.27,72,2.36,70,2.02
D,38,Hause,4.5,4.5,Aston Villa,3,0.14,6,0.27,7,0.25,6,0.24,5,0.16
D,39,Mings,4.5,4.5,Aston Villa,83,3.12,83,3.37,80,2.44,76,2.76,74,1.77
F,40,Watkins,7.5,7.5,Aston Villa,80,3.89,79,4.10,78,3.46,78,3.84,77,3.04
M,41,Nakamba,4.5,4.5,Aston Villa,4,0.20,6,0.32,8,0.37,8,0.36,9,0.39
M,42,Buendía,6.0,6.0,Aston Villa,44,2.48,45,2.72,43,2.23,43,2.44,44,2.04
D,43,Cash,5.0,5.0,Aston Villa,83,3.29,81,3.47,79,2.53,76,2.96,75,1.90
D,44,Konsa,4.5,4.5,Aston Villa,0,0.00,0,0.02,5,0.15,16,0.61,20,0.56
