Name,ID,Team,Position,Cost,OfficialFPLSite,theFPLKiwi,FPLReview,Average
Salah,283,LIV,MID,13.0,5.5,6.28,7.38,6.386666666666667
Kane,427,TOT,FWD,11.5,4.5,6.44,6.46,5.800000000000001
Son,428,TOT,MID,12.0,4.2,6.38,6.37,5.6499999999999995
Alexander-Arnold,285,LIV,DEF,7.5,5.5,5.47,5.64,5.536666666666666
De Bruyne,301,MCI,MID,12.0,4.7,4.85,5.0,4.85
Haaland,318,MCI,FWD,11.5,5.0,4.13,5.42,4.85
Robertson,284,LIV,DEF,7.0,5.2,4.41,4.9,4.836666666666666
Alisson,281,LIV,GK,5.5,5.5,4.16,4.27,4.643333333333333
Fernandes,333,MUN,MID,10.0,3.7,5.1,4.91,4.57
Cancelo,306,MCI,DEF,7.0,4.7,4.84,3.87,4.47
Van Dijk,280,LIV,DEF,6.5,4.8,4.0,4.44,4.413333333333334
Luis Díaz,293,LIV,MID,8.0,4.2,3.79,5.12,4.369999999999999
Ederson,307,MCI,GK,5.5,5.0,3.83,3.92,4.25
Lloris,425,TOT,GK,5.5,4.5,4.03,3.97,4.166666666666667
Sterling,304,CHE,MID,10.0,3.7,4.76,4.0,4.153333333333333
James,146,CHE,DEF,6.0,3.5,4.42,4.43,4.116666666666666
Darwin,297,LIV,FWD,9.0,4.5,3.37,4.43,4.1
Wilson,356,NEW,FWD,7.5,2.9,4.41,4.88,4.0633333333333335
Mount,142,CHE,MID,8.0,3.2,4.18,4.78,4.053333333333333
Mahrez,303,MCI,MID,8.0,3.7,3.8,4.26,3.92
Vardy,255,LEI,FWD,9.5,3.2,3.95,4.58,3.91
Matip,276,LIV,DEF,6.0,4.5,3.14,4.01,3.8833333333333333
Chilwell,139,CHE,DEF,6.0,3.5,3.99,4.07,3.8533333333333335
Foden,314,MCI,MID,8.0,3.7,4.19,3.67,3.8533333333333335
Maddison,261,LEI,MID,8.0,2.7,4.11,4.7,3.836666666666667
Dias,312,MCI,DEF,6.0,4.0,3.66,3.8,3.8200000000000003
Pope,376,NEW,GK,5.0,3.6,3.82,3.98,3.8
Jesus,28,ARS,FWD,8.0,3.1,3.89,4.39,3.793333333333333
De Gea,327,MUN,GK,5.0,3.6,3.95,3.76,3.77
Saka,13,ARS,MID,8.0,3.2,3.83,4.2,3.743333333333333
Mendy,147,CHE,GK,5.0,3.6,3.9,3.69,3.7299999999999995
Ramsdale,15,ARS,GK,5.0,3.6,4.07,3.49,3.7199999999999998
Martínez,31,AVL,GK,5.0,3.6,3.94,3.61,3.716666666666667
Saint-Maximin,368,NEW,MID,6.5,2.8,3.97,4.19,3.6533333333333333
Watkins,40,AVL,FWD,7.5,2.9,4.15,3.89,3.646666666666667
Perišić,448,TOT,DEF,5.5,3.1,3.38,4.34,3.6066666666666665
Targett,367,NEW,DEF,5.0,2.8,4.15,3.84,3.5966666666666662
Trippier,357,NEW,DEF,5.0,2.8,3.71,4.25,3.5866666666666664
Schmeichel,248,LEI,GK,5.0,3.1,3.86,3.78,3.58
Laporte,309,MCI,DEF,6.0,4.0,3.14,3.6,3.58
